iPhone13,72594,50020,86979
iPod,109313,78742,129061
SamsungGalaxyA21s,173841,123080,219824
SamsungGalaxyJ5,120110,91494,179332
SamsungGalaxyJ6,119997,84706,160235
HuaweiY5,97771,64346,119970
SonyPSVita,89507,58663,138804
