308,108405
321,100554
306,96563
302,101114
325,95976
314,96010
328,120720
311,97871
320,100343
320,95417
301,120518
300,97312
304,106595
307,121190
304,96270
310,115324
325,121218
298,117887
306,96741
304,101570
320,94676
303,95513
307,120730
323,98082
297,100653
300,95987
312,121182
299,99959
308,99395
301,95336
309,120705
307,117867
304,97783
315,100836
304,96176
316,98448
321,115595
304,109823
301,96560
311,118930
338,118261
294,96877
325,119492
316,117792
304,97124
316,100732
299,96558
319,120523
294,98449
298,99867
294,97129
320,120935
323,100935
299,98270
294,97234
318,120251
304,118654
309,96835
313,119382
295,118073
306,97793
304,100083
304,95038
317,96459
330,119757
310,117893
304,96653
300,119570
301,117871
300,96929
295,119674
298,118062
319,97224
330,100907
306,96742
313,120675
310,98088
356,100635
301,96182
333,121113
341,98570
336,100060
303,96460
305,120625
304,117805
315,95534
298,101851
299,95141
304,95542
311,120542
313,97698
323,100449
309,95541
294,120719
294,97530
314,100529
320,95542
304,120919
298,97778
299,107486
305,121099
304,117417
313,96083
302,109005
338,94782
295,121099
304,97706
295,101420
299,94898
297,121664
305,97501
298,107005
302,90019
305,121199
331,117971
294,97719
309,101219
329,95986
304,96459
298,98553
321,116835
329,100638
313,97688
304,98072
294,119576
309,118437
298,97408
299,119782
331,118554
299,98271
331,118459
304,118631
304,119005
303,97688
326,120060
308,119114
316,97986
303,120236
301,120345
300,103089
320,118088
316,103842
304,98747
306,102147
304,99235
307,121398
304,102803
294,98637
334,97894
308,121005
313,120260
304,98459
319,119476
320,120142
316,80638
304,80647
301,124037
298,119480
304,98934
302,100812
311,98835
311,120721
305,120072
334,98355
314,119394
321,119521
302,123476
302,118560
294,100176
320,120154
295,120292
295,112491
314,89005
316,98646
297,120006
303,120423
299,83005
313,81207
314,97616
320,119970
303,119773
297,120063
322,98730
304,121141
309,120893
314,83759
304,81407
310,80647
303,80747
304,98742
307,101019
320,101417
301,118578
315,111987
310,99699
339,101193
294,82626
336,97439
323,120560
307,119132
299,83207
320,81678
304,81124
321,98277
310,120083
320,120082
299,83396
295,99772
350,117876
320,113082
298,90031
295,110594
300,88731
294,81408
299,80271
299,80167
294,81313
320,97988
316,120424
306,119594
298,83099
317,81042
304,80841
315,98752
295,119327
294,119287
311,123576
330,118261
300,99612
320,100840
301,98476
304,120062
297,102236
304,99063
307,82438
295,80664
299,97689
306,120262
301,119771
336,82813
304,80648
