705,99864
594,108729
687,78938
592,81770
608,100157
618,81113
594,98845
630,100742
594,97972
592,100917
704,104834
696,98647
687,98937
591,98908
704,103192
612,99583
613,108533
686,97886
603,100811
594,101037
620,81406
689,79223
606,100176
625,99960
603,99792
701,97322
624,101951
592,100171
592,109585
614,110248
688,99979
752,79787
690,99235
592,99113
593,101475
593,100249
592,108437
687,84265
601,99604
606,99490
608,109980
603,100166
611,101019
611,79688
595,98635
605,101005
595,110424
613,99689
592,99782
698,79688
604,99885
593,119029
611,98559
592,99875
689,101112
599,98175
687,103113
607,98544
591,89089
594,101005
621,119381
615,99260
689,101481
596,108637
688,82908
594,97594
617,99688
594,110813
611,99396
720,101286
718,100559
707,99416
592,108823
592,99439
686,100907
602,100249
597,98542
607,81084
592,98624
592,99416
721,83851
602,82438
603,98176
699,85371
623,109112
605,98929
606,102073
693,82176
594,109113
693,101599
601,80365
701,103381
604,108824
611,99698
599,98731
695,96944
608,110270
598,110616
610,98741
591,90381
702,82071
689,82260
602,99510
698,102532
707,100271
735,101228
690,98459
602,109480
596,88917
607,100636
602,99781
613,108918
592,98746
624,100531
592,99864
605,99595
704,81487
746,78928
618,98166
598,79218
709,103855
693,84718
599,99970
596,100652
710,105458
699,102072
609,98729
726,81406
696,98636
599,100553
693,104251
592,100370
694,91905
710,102333
685,82448
613,102141
597,110245
597,99771
692,84516
604,100165
697,81019
691,74291
606,108814
587,109929
621,99604
602,101207
592,100089
595,80835
692,103945
704,83302
602,79823
598,99905
594,101416
688,102235
704,97792
689,105552
592,100531
611,99783
601,99961
697,103392
602,80553
691,102630
717,98731
719,78381
587,108323
685,101300
611,80072
610,90676
621,98636
622,108678
698,79132
592,98471
708,82176
593,119371
714,102424
594,102140
688,98980
606,89141
596,101108
595,100342
689,99501
719,79980
687,104987
697,77543
708,97500
608,99531
592,100829
619,119322
688,96668
695,103468
609,98074
593,99886
601,100322
593,90270
609,89031
593,99698
591,99035
597,98841
699,105311
599,98342
600,99322
591,99678
688,99124
602,98747
593,109476
614,99770
695,100342
704,100448
612,98366
687,104234
688,71165
611,99113
731,77234
606,100447
598,99115
592,99406
619,80530
598,98616
621,98720
601,101668
613,109680
599,80584
607,99423
719,81510
696,104141
595,89798
614,80741
596,99114
614,109772
592,79698
704,104141
617,100834
602,99297
610,88553
597,89747
716,104510
594,101113
592,100354
695,108958
694,102919
602,108929
597,118270
614,90552
592,98449
592,88934
592,100542
596,80824
687,99423
720,100071
609,89009
592,99893
592,109182
605,110424
687,82072
591,100548
691,82823
595,99019
594,99491
595,101668
605,99770
701,101395
607,81303
688,79405
609,89490
597,99037
720,101475
702,105574
608,101111
688,64346
606,101124
593,109416
609,98824
710,101489
689,100904
609,98517
625,100158
591,81678
592,107918
591,108542
606,80740
611,100177
703,82280
689,101886
591,99031
591,100647
599,99491
595,110448
597,98730
594,99329
599,80407
595,80088
592,100464
591,109416
624,108558
616,98929
592,98082
620,99784
