1874,101596
1885,102235
1875,102858
1907,133095
1861,120814
1903,101334
1865,101792
1869,102083
1872,102721
1867,131365
1872,120543
1886,102260
1867,102742
1869,102176
1885,116583
1870,121028
1866,118260
1865,140575
1887,136046
1870,134438
1867,119596
1858,118382
1858,130099
1910,138323
1869,120330
1872,137886
1863,122447
1903,126323
1877,132678
1904,122564
1888,138355
1882,120072
1858,123005
1872,126124
1881,134281
1859,136740
1884,134663
1861,135397
1872,135251
1867,119490
1883,121511
1877,138284
1891,127653
1904,134031
1861,121302
1859,118083
1879,121647
1875,131227
1874,135323
1861,134113
1902,119511
1873,120292
1858,121496
1863,130476
1872,134459
1871,134476
1863,119476
1863,121680
1861,131064
1870,135313
1878,134659
1894,119511
1885,119585
1863,122417
1860,129371
1875,133909
1869,136365
1862,140156
1858,143784
1887,121303
1871,119882
1862,138106
1859,132604
1883,135145
1870,134570
1870,122343
1859,131041
1867,135366
1869,134542
1859,136936
1859,143563
1874,125945
1865,134654
1862,120851
1879,138439
1904,122730
1925,141971
1879,120449
1872,119030
1876,121585
1889,139569
1951,122472
1872,138770
1859,120730
1882,122199
1878,130511
1860,132177
1861,120762
1871,120176
1881,120439
1872,121574
1866,130406
1872,134000
1894,136183
1866,122371
1861,120372
1869,121768
1904,127935
1867,132918
1872,119312
1872,102941
1858,118210
1859,121980
1861,131741
1887,135142
1862,135346
1899,119866
1881,121037
1870,120638
1858,130366
1871,134168
1893,136039
1878,122299
1870,140397
1858,127072
1888,133459
1861,136648
1867,142920
1890,123334
1860,137646
1858,120933
1861,138210
1898,144166
1868,123825
1895,118730
1866,102617
1861,118270
1886,120586
1859,138876
1871,120673
1878,125181
1861,120284
1909,133419
1874,120617
1870,138087
1861,143531
1867,138699
1879,120124
1861,122125
1871,131482
1963,134859
1861,135156
1865,140647
1863,122330
1874,127439
1899,132836
1871,136732
1895,142543
1903,143083
1903,119387
1859,119699
1874,135886
1877,134142
1904,151826
1873,119030
1867,122277
1899,131135
1861,135054
1866,135525
1875,119199
1874,120131
1875,122219
1904,131167
1863,135407
1911,134946
1865,139597
1886,122907
1889,127381
1871,132093
1877,139851
1871,138466
1872,143396
1886,121260
1895,120595
1876,118741
1871,121512
1868,139110
1869,141234
1916,139031
1882,120824
1862,121793
1868,130731
1897,134553
1858,135419
1881,121198
1859,141193
1893,127748
1861,133617
1867,136647
1872,142906
1888,126961
1895,134772
1876,120550
1872,135543
1859,133893
1862,119323
1868,118254
1935,133877
1872,120532
1878,135224
1893,134841
1869,136006
1871,119907
1869,116835
1898,119398
1866,135031
1859,134936
1876,119663
1869,119021
1938,133042
1874,120930
1858,135876
1909,134386
1911,130617
1871,121951
1863,119021
1869,120612
1877,137887
1872,144148
1870,121763
1858,120287
1858,118559
1861,121381
1863,131048
1892,135252
1872,119314
1869,134466
1872,120560
1894,121036
1881,131282
1867,118236
1867,118752
1922,134106
1870,120852
1870,121199
1858,120323
1872,139783
1901,141465
1884,119043
1873,120826
1866,133250
1872,135699
1866,118900
1883,135261
1891,140543
1866,130292
1858,131720
1872,121935
1873,120166
1873,119382
1936,120606
1862,123653
1875,138072
1895,139531
1858,120730
1870,141560
1886,119125
1865,126970
1866,134277
1876,136209
1877,140372
1867,143323
1904,120741
1858,119970
1866,118920
1863,119618
1873,137908
1868,122542
1890,126792
1969,119868
1904,133511
1858,120226
1875,118372
1863,122554
1874,118825
1890,130020
1868,131952
1868,138563
1864,137226
1858,123099
1871,121945
1866,120645
1859,138841
1876,121951
1919,135518
1859,120048
1879,120534
1885,119866
1879,130283
1863,134366
1879,120177
1872,138193
1873,144125
1858,139344
1870,118919
1886,120636
1879,137570
1904,131392
1872,134187
1887,118959
1887,120469
1881,135423
1886,133939
1869,135625
1858,120261
1866,119030
1891,132844
1881,120355
1893,134742
1889,139679
1879,122470
1869,125848
1859,120201
1897,133544
1866,120260
1872,136303
1859,142804
1872,125742
1904,134560
1886,120323
1859,135560
1869,134105
1859,130531
1865,139189
1875,120356
1860,135219
1894,134250
1866,135820
1871,120073
1871,134534
1901,120303
1885,135226
1862,121722
